date,ticker,extended_z_expanding
2021-08-23,TTWO,2.457657230167827
2021-08-23,UPS,-1.1561944198068383
2021-08-23,USB,-0.26159273791060755
2021-08-23,V,0.21788079289414997
2021-08-23,WFC,-0.6222636267989486
2021-08-23,WMT,-0.004109334104986121
2021-08-23,XOM,0.959771211585693
2021-08-24,ABBV,0.6396372500966782
2021-08-24,ABT,-0.8554742624336691
2021-08-24,ADBE,
2021-08-24,AEP,
2021-08-24,AMD,-0.6129425914149931
2021-08-24,AMGN,
2021-08-24,AMT,
2021-08-24,BA,
2021-08-24,CAT,-0.26166305705346393
2021-08-24,CCI,
2021-08-24,CMCSA,-0.16678095178824434
2021-08-24,COP,-0.21111110493885366
2021-08-24,CVX,0.20687878833124992
2021-08-24,D,
2021-08-24,DD,
2021-08-24,DIS,-0.07217660690384115
2021-08-24,DOW,-0.15921513865056328
2021-08-24,DUK,-1.2900487409940515
2021-08-24,EA,1.5177928939226009
2021-08-24,GE,1.63978988701231
2021-08-24,GILD,
2021-08-24,GS,0.07853934656341026
2021-08-24,INTC,-0.32976421442885756
2021-08-24,KO,
2021-08-24,MMM,0.44584024402840033
2021-08-24,MRK,
2021-08-24,MS,-0.4695212596079578
2021-08-24,NEE,-1.124104068349068
2021-08-24,NEM,
2021-08-24,NKE,-0.4502086507226287
2021-08-24,NUE,
2021-08-24,NVDA,
2021-08-24,O,-0.5696183136560673
2021-08-24,OXY,1.187466297226216
2021-08-24,PLD,
2021-08-24,PSA,
2021-08-24,QCOM,
2021-08-24,SBUX,-0.3357089900123793
2021-08-24,SHW,
2021-08-24,SLB,
2021-08-24,SO,
2021-08-24,T,1.4272534517492144
2021-08-24,TMUS,
2021-08-24,TTWO,
2021-08-24,UPS,-0.9132913553483206
2021-08-24,USB,
2021-08-24,V,0.26954190538509476
2021-08-24,WFC,0.03996833524909162
2021-08-24,WMT,-0.4347620323473018
2021-08-24,XOM,0.5728999510132461
2021-08-25,ABBV,-0.6274942651142801
2021-08-25,ABT,0.6541003000954404
2021-08-25,ADBE,-0.6552905098272565
2021-08-25,AEP,
2021-08-25,AMD,0.5036240360878113
2021-08-25,AMGN,-0.2684278167222219
2021-08-25,AMT,-0.43095258914150397
2021-08-25,BA,
2021-08-25,CAT,1.287614831800394
2021-08-25,CCI,
2021-08-25,CMCSA,
2021-08-25,COP,
2021-08-25,CVX,
2021-08-25,D,
2021-08-25,DD,
2021-08-25,DIS,
2021-08-25,DOW,
2021-08-25,DUK,
2021-08-25,EA,
2021-08-25,GE,
2021-08-25,GILD,-0.406013469054944
2021-08-25,GS,-0.38609506652896686
2021-08-25,INTC,-0.22748199870011152
2021-08-25,KO,1.9140678717078397
2021-08-25,MMM,1.820967236072979
2021-08-25,MRK,-0.5748804165779029
2021-08-25,MS,-0.4758696773550532
2021-08-25,NEE,-0.2805417426684176
2021-08-25,NEM,
2021-08-25,NKE,-0.3841267606140329
2021-08-25,NUE,-0.43496482572717815
2021-08-25,NVDA,
2021-08-25,O,-0.7913541184959664
2021-08-25,OXY,-0.18864701140848597
2021-08-25,PLD,
2021-08-25,PSA,
2021-08-25,QCOM,
2021-08-25,SBUX,0.6389487800497918
2021-08-25,SHW,
2021-08-25,SLB,
